CTY_CODE,CTY_NAME,first_year_seen,latest_year_seen,source_flows,CTY_NAME_NORM
1010,GREENLAND,2010,2025,"exports/hs,imports/hs",GREENLAND
1220,CANADA,2010,2025,"exports/hs,imports/hs",CANADA
1610,ST PIERRE AND MIQUELON,2010,2025,"exports/hs,imports/hs",ST PIERRE AND MIQUELON
2010,MEXICO,2010,2025,"exports/hs,imports/hs",MEXICO
2050,GUATEMALA,2010,2025,"exports/hs,imports/hs",GUATEMALA
2080,BELIZE,2010,2025,"exports/hs,imports/hs",BELIZE
2110,EL SALVADOR,2010,2025,"exports/hs,imports/hs",EL SALVADOR
2150,HONDURAS,2010,2025,"exports/hs,imports/hs",HONDURAS
2190,NICARAGUA,2010,2025,"exports/hs,imports/hs",NICARAGUA
2230,COSTA RICA,2010,2025,"exports/hs,imports/hs",COSTA RICA
2250,PANAMA,2010,2025,"exports/hs,imports/hs",PANAMA
2320,BERMUDA,2010,2025,"exports/hs,imports/hs",BERMUDA
2360,BAHAMAS,2010,2025,"exports/hs,imports/hs",BAHAMAS
2390,CUBA,2010,2025,"exports/hs,imports/hs",CUBA
2410,JAMAICA,2010,2025,"exports/hs,imports/hs",JAMAICA
2430,TURKS AND CAICOS ISLANDS,2010,2025,"exports/hs,imports/hs",TURKS AND CAICOS ISLANDS
2440,CAYMAN ISLANDS,2010,2025,"exports/hs,imports/hs",CAYMAN ISLANDS
2450,HAITI,2010,2025,"exports/hs,imports/hs",HAITI
2470,DOMINICAN REPUBLIC,2010,2025,"exports/hs,imports/hs",DOMINICAN REPUBLIC
2481,ANGUILLA,2010,2025,"exports/hs,imports/hs",ANGUILLA
2482,BRITISH VIRGIN ISLANDS,2010,2025,"exports/hs,imports/hs",BRITISH VIRGIN ISLANDS
2483,ST KITTS AND NEVIS,2010,2025,"exports/hs,imports/hs",ST KITTS AND NEVIS
2484,ANTIGUA AND BARBUDA,2010,2025,"exports/hs,imports/hs",ANTIGUA AND BARBUDA
2485,MONTSERRAT,2010,2025,"exports/hs,imports/hs",MONTSERRAT
2486,DOMINICA,2010,2025,"exports/hs,imports/hs",DOMINICA
2487,ST LUCIA,2010,2025,"exports/hs,imports/hs",ST LUCIA
2488,ST VINCENT AND THE GRENADINES,2010,2025,"exports/hs,imports/hs",ST VINCENT AND THE GRENADINES
2489,GRENADA,2010,2025,"exports/hs,imports/hs",GRENADA
2720,BARBADOS,2010,2025,"exports/hs,imports/hs",BARBADOS
2740,TRINIDAD AND TOBAGO,2010,2025,"exports/hs,imports/hs",TRINIDAD AND TOBAGO
2771,NETHERLANDS ANTILLES,2010,2011,"exports/hs,imports/hs",NETHERLANDS ANTILLES
2774,SINT MAARTEN,2011,2025,"exports/hs,imports/hs",SINT MAARTEN
2777,CURACAO,2011,2025,"exports/hs,imports/hs",CURACAO
2779,ARUBA,2010,2025,"exports/hs,imports/hs",ARUBA
2831,GUADELOUPE,2010,2025,"exports/hs,imports/hs",GUADELOUPE
2839,MARTINIQUE,2010,2025,"exports/hs,imports/hs",MARTINIQUE
3010,COLOMBIA,2010,2025,"exports/hs,imports/hs",COLOMBIA
3070,VENEZUELA,2010,2025,"exports/hs,imports/hs",VENEZUELA
3120,GUYANA,2010,2025,"exports/hs,imports/hs",GUYANA
3150,SURINAME,2010,2025,"exports/hs,imports/hs",SURINAME
3170,FRENCH GUIANA,2010,2025,"exports/hs,imports/hs",FRENCH GUIANA
3310,ECUADOR,2010,2025,"exports/hs,imports/hs",ECUADOR
3330,PERU,2010,2025,"exports/hs,imports/hs",PERU
3350,BOLIVIA,2010,2025,"exports/hs,imports/hs",BOLIVIA
3370,CHILE,2010,2025,"exports/hs,imports/hs",CHILE
3510,BRAZIL,2010,2025,"exports/hs,imports/hs",BRAZIL
3530,PARAGUAY,2010,2025,"exports/hs,imports/hs",PARAGUAY
3550,URUGUAY,2010,2025,"exports/hs,imports/hs",URUGUAY
3570,ARGENTINA,2010,2025,"exports/hs,imports/hs",ARGENTINA
